"name","permalink_url","city","followers_count","followings_count","username"
"notesfortroy","https://soundcloud.com/notesfortroy","Los Angeles",1314,507,"notesfortroy"
"osojack","https://soundcloud.com/osojack","los angeles",1769,832,"osojackmusic"
"DorothyK","https://soundcloud.com/msdorothyk","Los Angeles",200,400,"msdidikay"
"cayce","https://soundcloud.com/caycewav","Los Angeles",2451,499,"geovybe"
"TWINKIDS","https://soundcloud.com/twinkids","Los Angeles",871,581,"twinkidsmusic"
"Tiger Blood","http://soundcloud.com/tigerbloodvial","Los Angeles",1457,237,"richie.yi"
"deepsleeper","https://soundcloud.com/deepsleepermusic","Los Angeles",172,854,"blakestraus"
"Sad Savior","https://soundcloud.com/sadsavior","Los Angeles",2013,303,"sadsaviormusic"
"YUNGG TRIP","https://soundcloud.com/yunggtrip","Los Angeles",2305,1007,"yunggtripofficial"
"albertoalejandro","https://soundcloud.com/alberto_alejandro","Los Angeles",654,401,"albertoalejandro_"
"SaulGood","https://soundcloud.com/saulgoodbaby","Los Angeles",194,1194,"saulgood_music"
"Shinobi Mane","https://soundcloud.com/shinobimane","Los Angeles",622,2000,"ShinobiMane"
"micki maverick","https://soundcloud.com/micki_maverick","Los Angeles",323,528,"micki_maverick"
"Doom Trip Records","https://soundcloud.com/doomtrip","Los Angeles",487,281,"doomtriprecords"
"Chill Panda","https://soundcloud.com/chillpandamusic","Los Angeles",138,278,"chillpandamusic"
"Les Lockheart","https://soundcloud.com/leslockheart","Los Angeles",718,450,"lockheartles"
"bardo","https://soundcloud.com/bardofficial","los angeles",2109,562,"bardo"
"BradleyAllan","https://soundcloud.com/bradleyallan","Los Angeles",1492,210,"iambradleyallan"
"SUBshockers","https://soundcloud.com/subshockers","Los Angeles",4362,1437,"SUBshockers"
"Runner","https://soundcloud.com/running4u","Los Angeles",1014,1972,"dj_ph666"
"CAL-A","https://soundcloud.com/calakeepitlit","Los Angeles",3788,235,"Cal_A"
"kanopy","https://soundcloud.com/kanopybeats","los angeles",2438,431,"kanopybeats"
"AdamJosephProduction","https://soundcloud.com/adamjosephproduction","Los Angeles",2509,364,"adamjosephmusic"
"Billy Hammer","https://soundcloud.com/billyhammer","Los Angeles",4723,457,"billyhammermusic"
"NAIVE","https://soundcloud.com/producedbynaive","Los Angeles",567,613,"producedbynaive"
"MYOPIC SOUNDS","https://soundcloud.com/myopicsounds","Los Angeles",1574,351,"MYOPIC_SOUNDS"
"Rainbow Arabia","https://soundcloud.com/rainbowarabia","Los Angeles",2502,222,"rainbowarabia"
"Malitox","https://soundcloud.com/malitox","Los Angeles",355,1133,"iblamejomari"
"dusk.","https://soundcloud.com/duskbeats","los angeles",214,255,"duskbeats"
"Orno","https://soundcloud.com/ornomusic","Los Angeles",2079,223,"ornomusic"
"Funk Fiction","https://soundcloud.com/funkysynths","Los Angeles",3942,208,"funkysynths"
"STARS AT NIGHT","https://soundcloud.com/starsatnight","los angeles",129,358,"starsatnightband"
"Estéreos Unidos","https://soundcloud.com/estereos_unidos","Los Angeles",83,233,"estereosunidos"
"NICE NATE","https://soundcloud.com/nice_nate","los angeles",1445,1000,"nicenatep"
"Wett Brain","https://soundcloud.com/wettbrain","Los Angeles",2582,903,"wett_brain"
"Frythm","https://soundcloud.com/frythm","Los Angeles",1331,458,"frythm"
"andrewvoid.","https://soundcloud.com/andrewvoid","los angeles",2803,475,"prod.andrewvoid"
"truekolors","https://soundcloud.com/truekolorsmusic","Los Angeles",136,299,"truekolors.music"
"ProducerTrentTaylor","https://soundcloud.com/trenttaylor-2","Los Angeles",1954,297,"ProducerTrentTaylor_"
"Baby Uniq","https://soundcloud.com/djbabyuniq","Los Angeles",642,313,"djbabyuniq"
"ralphiediggs","https://soundcloud.com/ralphiediggs","Los Angeles",159,278,"ralphiediggs"
"IANY","https://soundcloud.com/ianymusic","Los Angeles",739,482,"its_iany"
"Marcutio","https://soundcloud.com/marcutio","Los Angeles",4342,980,"marcutiomusic"
"ralphiediggs","https://soundcloud.com/ralphiediggs","Los Angeles",159,278,"clct_"
"88.","https://soundcloud.com/88superofficial","LOS ANGELES",1004,1346,"88superofficial"
"Joshua Daniel","https://soundcloud.com/byjoshuadaniel","Los Angeles",810,370,"shuajofficial"
"Birdee","https://soundcloud.com/birdee","Los Angeles",4653,665,"birdeeismyname"
"WATUSI","https://soundcloud.com/pidjeon","Los Angeles",2921,227,"wa.tu.si"
"equity slate","https://soundcloud.com/equityslate","Los Angeles",3307,320,"equityslate"
"The Lovepools","https://soundcloud.com/thelovepools","Los Angeles",142,320,"thelovepools"
"Cyrus Reynolds","https://soundcloud.com/cyrusreynolds","Los Angeles",4635,207,"cyrus_reynolds"
"XKYLAR","https://soundcloud.com/xkylar","Los Angeles",617,221,"whoisxky"
"LMNOP","https://soundcloud.com/lmnopmusic","Los Angeles",591,578,"schwartzpower"
"HASEEBthefew","https://soundcloud.com/haseebthefew","Los Angeles",1824,629,"haseebthefew"
"MADGRRL","https://soundcloud.com/madgrrl","Los Angeles",2409,244,"madgrrlmusic"
"flowers de moon","https://soundcloud.com/flowersdemoon","Los Angeles",269,325,"flowers_de_moon"
"Canyonazo","https://soundcloud.com/dj-canyon","Los Angeles",1459,1849,"elcanyonazo"
"Kae uh","https://soundcloud.com/kaeuh","Los Angeles",1898,528,"stirlingmcc"
"Art Thieves Collective","https://soundcloud.com/therealartthievescollective","Los Angeles",184,574,"artthievescollective"
"TaDa","https://soundcloud.com/tadasounds","Los Angeles",700,322,"tadasounds"
"VOWWS","https://soundcloud.com/vowwsband","Los Angeles",719,319,"vowwsband"
"BAER","https://soundcloud.com/baermusicofficial","Los Angeles",885,403,"baermusic"
"MexicanDubwiser","https://soundcloud.com/mexicandubwiser","Los Angeles",4063,558,"mexicandubwiser"
"Party Pauler","https://soundcloud.com/partypauler","Los Angeles",748,591,"paulerlam"
"coco morier","https://soundcloud.com/coco-morier","Los Angeles",894,223,"cocomorier"
"Wünderrush","https://soundcloud.com/wunderrush","Los Angeles",380,209,"MrKellyRush"
"Kaidro","https://soundcloud.com/kaidro","Los Angeles",3289,488,"djkaidro"
"Intergalactix","https://soundcloud.com/the-intergalactix","Los Angeles",988,1657,"theintergalactix"
"kiki","https://soundcloud.com/kianzohoury","Los Angeles",992,663,"kikibumps"
"Maikol (USA)","https://soundcloud.com/maikolmusic","Los Angeles",677,2001,"maikolmusic"
"MIKE TALA","https://soundcloud.com/beatsbymiket","LOS ANGELES",1573,1221,"beatsbymiket"
"Tim Hafer","https://soundcloud.com/timhafermusic","Los Angeles",2652,1933,"timhafermusic"
"Jude Rose","https://soundcloud.com/juderosemusic","Los Angeles",99,540,"juderosemusic"
"EMM","https://soundcloud.com/emminreallife","Los Angeles",679,1452,"emminreallife"
"BBM...","https://soundcloud.com/bakaboyz","LOS ANGELES",293,537,"thebakaboyz"
"WolfBaby666","https://soundcloud.com/wolfbaby666","Los Angeles",1129,744,"wolfbitch666"
"KALiPZO","http://soundcloud.com/itskalipzo","Los Angeles",709,403,"itskalipzo"
"Aglon","https://soundcloud.com/aglon","Los Angeles",453,211,"aglon_"
"Akira Akira","https://soundcloud.com/isthatakira","Los Angeles",3680,637,"isthatakira"
"YishaY","https://soundcloud.com/1-800-yishay","Los Angeles",101,204,"yishay.co"
"Calibrii","https://soundcloud.com/calibriiofficial","Los Angeles",2136,370,"CalibriiOfficial"
"Black Rabbit","https://soundcloud.com/blackrabbitou","Los Angeles",666,712,"blackrabbitou"
"Matte","https://soundcloud.com/ovtkastmusic","Los Angeles",2759,283,"mattmattematt"
"Juxtin","https://soundcloud.com/ilyjuxtin","Los Angeles",1270,636,"jayleaveit"
"Kyle Norvell","https://soundcloud.com/kylenorvell","Los Angeles",768,443,"kylenorvell07"
"Charlie Kim","https://soundcloud.com/iamcharliekim","Los Angeles",3703,217,"IAMCHARLIEKIM"
"Dope On Repeat","https://soundcloud.com/dopeonrepeat","Los Angeles",360,1297,"dopeonrepeat"
"Cameron Jordan","https://soundcloud.com/cameronjordan","Los Angeles",660,546,"_cameronjordan"
"DjsinLA","https://soundcloud.com/djsinla","Los Angeles",369,863,"djsinla"
"AZU","https://soundcloud.com/musicbyazu","Los Angeles",596,438,"musicbyazu"
"Spirit Goth Records","https://soundcloud.com/spiritgoth","los angeles",2755,552,"spiritgoth"
"Marx","https://soundcloud.com/musicbymarx","Los Angeles",714,331,"xnickmarks"
"E_Z_RAH","https://soundcloud.com/e_z_rah","Los Angeles",175,517,"e_z_rah"
"Maero","https://soundcloud.com/maerouniverse","Los Angeles",115,616,"maeromusic"
"MATALO","https://soundcloud.com/matalomusic","Los Angeles",1485,661,"matalomusic"
"Fluency","https://soundcloud.com/phluency","Los Angeles",350,238,"fluency.wav"
"DOMEOFDOOM","https://soundcloud.com/domeofdoom","Los Angeles",4670,322,"domeofdoom"
"We Are: The Guard","https://soundcloud.com/wearetheguard","Los Angeles",3288,2000,"wearetheguard"
"VENGANZA","https://soundcloud.com/2ghoul4school","Los Angeles",354,1355,"2ghoul4school"
"Clear Mortifee","https://soundcloud.com/clearmortifee","Los Angeles",1654,381,"clear.mortifee"
"Nuklear Prophet","https://soundcloud.com/nukeprophit","Los Angeles",657,817,"tha_dopeman"
"Oriel Poole","https://soundcloud.com/orielpoole","Los Angeles",1058,513,"orielpoole"
"Miracles","https://soundcloud.com/miraclestew","Los Angeles",869,713,"miraclestew"
"8THENTITY","https://soundcloud.com/8th-entity","Los Angeles",2864,482,"8thentity"
"XOUND","https://soundcloud.com/xoundsgood","Los Angeles",91,522,"xoundsgood"
"YNG VILLN","https://soundcloud.com/yngvilln","Los Angeles",3575,348,"villn310"
"Special Teams","https://soundcloud.com/special_teams","Los Angeles",225,1027,"specialteams_co"
"sixthgroup","https://soundcloud.com/sixthgroup","Los Angeles",2251,346,"sixthgroup"
"Casablanca Sunset","https://soundcloud.com/casablancasunset","Los Angeles",1131,498,"casablancasunset"
"fabio.gallo","https://soundcloud.com/fabioogallo","Los Angeles",408,415,"fabssss__"
"Mr. Bootsauce","https://soundcloud.com/mrbootsauce","Los Angeles",2433,301,"mrbootsauce"
"IPSY","https://soundcloud.com/ipsyipsy","Los Angeles",888,744,"ipsy_official"
"Yung Old","https://soundcloud.com/yungold","Los Angeles",914,760,"yung_old"
"Adult Bodies","https://soundcloud.com/adult-bodies","Los Angeles",168,410,"adultbodies"
"CAPTSIS","https://soundcloud.com/captsis","LOS ANGELES",1715,920,"captsis"
"Hooded Youth","https://soundcloud.com/hoodedyouth","Los Angeles",929,665,"hoodedyouth"
"COS&effekt","https://soundcloud.com/cosandeffekt","Los Angeles",259,255,"cosandeffekt"
"producer dane","https://soundcloud.com/producerdane","Los Angeles",1079,739,"pro_dane100"
"Deaton Chris Anthony","https://soundcloud.com/deaton-chris-anthony","Los Angeles",2866,225,"deatonchrisanthony"
"Rae Okino","https://soundcloud.com/raeokino","Los Angeles",619,243,"RAEOKINO"
"Otis English","https://soundcloud.com/otisenglish","Los Angeles",455,209,"otisenglish"
"iamjvmie","https://soundcloud.com/iamjvmie","Los Angeles",1143,835,"iamjvmie"
"Joel the Unicorn","https://soundcloud.com/unicornthejoel","Los Angeles",954,208,"unicornthejoel"
"Josh Jacobson","https://soundcloud.com/joshjacobson","Los Angeles",3677,1093,"joshjacobsongs"
"Bedrockk","https://soundcloud.com/bedrockk","Los Angeles",4063,369,"bedrockkmusic"
"James Rose","https://soundcloud.com/jamesrosemusic","Los Angeles",450,1198,"jamesrosemusic"
"Alexa Villa","https://soundcloud.com/alexa-music","Los Angeles",181,375,"theAlexaVilla"
"brando'","https://soundcloud.com/brandodubs","Los Angeles",1765,1612,"brandodubs"
"Bad Acid","https://soundcloud.com/itsbadacid","Los Angeles",2139,368,"matikmusik"
"Vita and the Woolf","https://soundcloud.com/vitaandthewoolf","Los Angeles",637,287,"vitaandthewoolf"
"mari","https://soundcloud.com/mari_machine","Los Angeles",413,534,"mari_machine"
"DJ El Dopa","https://soundcloud.com/musicmakesthedifference","Los Angeles",301,286,"djeldopa"
"Neil Chin","https://soundcloud.com/neilchinmusic","Los Angeles",501,1159,"neilchinmusic"
"SAMPLE.","https://soundcloud.com/ayosample","Los Angeles",720,943,"ayosample"
"EVeryman","https://soundcloud.com/everyman_music","Los Angeles",4457,2004,"everyman_music"
"Complicated Animals","https://soundcloud.com/complicatedanimals","Los Angeles",550,1997,"complicatedanimals"
"Earry Hall","https://soundcloud.com/earry-hall","Los Angeles",644,339,"EARRYHALL"
"Snocker","https://soundcloud.com/snockermusic","Los Angeles",2682,206,"snockercot"
"rossco soletrain","https://soundcloud.com/rosscosoletrainbeats","Los Angeles",387,245,"soletrain#"
"Keep On Repeat","https://soundcloud.com/keeponrepeat","Los Angeles",1106,2011,"keep_on_repeat"
"IMKK","https://soundcloud.com/imkkmusic","Los Angeles",4484,456,"IMKKmusic"
"Zimbu","https://soundcloud.com/zimbumusic","Los Angeles",3393,885,"beezimbu"
"Nadia Vaeh","https://soundcloud.com/nadiavaeh","Los Angeles",989,1341,"nadiavaeh"
"_Waahiid_","https://soundcloud.com/waahiid_beats","Los Angeles",525,213,"_waahiid_"
"Aspetuck","https://soundcloud.com/aspetuck","Los Angeles",274,1173,"aspetuckmusic"
"HOODLIT","https://soundcloud.com/hoodlit","Los Angeles",2841,884,"hoodlit_official"
"BeMyFiasco","https://soundcloud.com/bemyfiasco","Los Angeles",2606,396,"bemyfiasco"
"TEMPI","https://soundcloud.com/tempimusic","Los Angeles",3207,274,"tempimusic"
"mysicka","https://soundcloud.com/bmysicka","los angeles",517,821,"brandonmysicka"
"Sugi Dakks","https://soundcloud.com/sugidakks","Los Angeles",1244,235,"sugidakks"
"Miranda Glory","https://soundcloud.com/mirandaglory","Los Angeles",2270,304,"chillranda"
"MALT","https://soundcloud.com/malt_7","Los Angeles",520,393,"malt_7"
"Mama Cleo","https://soundcloud.com/iammamacleo","Los Angeles",389,315,"iammamacleo"
"recipe.","https://soundcloud.com/recipemusic","Los Angeles",2875,379,"recipeprod"
"VENON","https://soundcloud.com/venonmusic","Los Angeles",3173,488,"imvenon"
"spré","https://soundcloud.com/spreboi","los angeles",1352,274,"sprebeats"
"Paper Idol","https://soundcloud.com/iampaperidol","Los Angeles",468,235,"iampaperidol"
"dialedIN","https://soundcloud.com/dialedin","Los Angeles",4110,419,"dialedinmusic"
"▲ MB ▲","https://soundcloud.com/media-blackout-label","LOS ANGELES",4659,299,"mediablackout.la"
"Bubblewrappe","https://soundcloud.com/bubblewrappe","Los Angeles",435,676,"bubblewrappe"
"WizG","https://soundcloud.com/wizgmusic","Los Angeles",1742,232,"wizgmusic"
"Electric Family","https://soundcloud.com/electricfamily","Los Angeles",3342,1169,"electricfamily"
"novelties","https://soundcloud.com/noveltiesworld","Los Angeles",176,349,"TheNovelties"
"Pluma","https://soundcloud.com/plumapluma","Los Angeles",1242,2001,"plumamusic"
"Thnk Void","https://soundcloud.com/thnkvoid","Los Angeles",363,313,"thnkvoid"
"CREATESAFE","https://soundcloud.com/createsafe","Los Angeles",3744,568,"withyousound"
"saison.","https://soundcloud.com/saisonbeats","Los Angeles",613,752,"voidshift"
"saison.","https://soundcloud.com/saisonbeats","Los Angeles",613,752,"saison__"
"Katrina Stuart","https://soundcloud.com/katrinastuartofficial","Los Angeles",1824,209,"katrinastuartofficial"
"Two Seven Clash","https://soundcloud.com/two-seven-clash2077","Los Angeles",1486,494,"twosevenclash"
"JEDI","https://soundcloud.com/darksidejedi","Los Angeles",4583,265,"aowjedi"
"The Sights And Sounds","https://soundcloud.com/thesightsandsounds","Los Angeles",1246,1790,"thesightsandsounds"
"EK-ULTRA","https://soundcloud.com/escorkrist","Los Angeles",1250,469,"escorkrist"
